Nose_X,Nose_Y,Nose_C,Neck_X,Neck_Y,Neck_C,RShoulder_X,RShoulder_Y,RShoulder_C,RElbow_X,RElbow_Y,RElbow_C,RWrist_X,RWrist_Y,RWrist_C,LShoulder_X,LShoulder_Y,LShoulder_C,LElbow_X,LElbow_Y,LElbow_C,LWrist_X,LWrist_Y,LWrist_C,RHip_X,RHip_Y,RHip_C,RKnee_X,RKnee_Y,RKnee_C,RAnkle_X,RAnkle_Y,RAnkle_C,LHip_X,LHip_Y,LHip_C,LKnee_X,LKnee_Y,LKnee_C,LAnkle_X,LAnkle_Y,LAnkle_C,REye_X,REye_Y,REye_C,LEye_X,LEye_Y,LEye_C,REar_X,REar_Y,REar_C,LEar_X,LEar_Y,LEar_C
423.364,369.857,0.641955,412.92,476.902,0.154684,252.4,457.297,0.306069,0.0,0.0,0.0,0,0,0,544.768,382.9,0.0875985,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.193,328.044,0.757365,465.167,318.991,0.827768,321.565,338.566,0.465193,516.018,315.058,0.655423
423.403,368.582,0.619482,411.633,476.907,0.135936,251.088,457.304,0.272324,0.0,0.0,0.0,0,0,0,546.059,381.624,0.0837189,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.488,328.124,0.764789,465.11,319.001,0.797059,317.682,328.066,0.601897,514.762,309.808,0.652336
424.67,369.893,0.593331,411.624,476.908,0.122854,251.089,457.319,0.275791,0.0,0.0,0.0,0,0,0,546.027,381.66,0.0657918,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.178,328.061,0.711836,467.736,320.311,0.681162,318.949,329.431,0.527989,516.034,308.498,0.679753
422.088,369.862,0.641139,412.943,476.905,0.12037,249.793,457.323,0.271816,0.0,0.0,0.0,0,0,0,544.766,381.637,0.0882937,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.105,328.125,0.746504,465.194,319.001,0.793188,320.298,339.827,0.548165,516.035,309.834,0.673081
423.365,369.88,0.672495,411.628,476.907,0.121075,252.383,456.029,0.283214,0.0,0.0,0.0,0,0,0,546.048,382.897,0.080363,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.469,328.088,0.741544,466.475,320.264,0.758524,324.202,343.763,0.554896,516.023,316.327,0.659293
422.041,369.887,0.657018,411.643,476.906,0.122894,252.41,455.997,0.293802,0.0,0.0,0.0,0,0,0,544.768,381.67,0.0892645,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.181,328.053,0.756406,466.434,318.997,0.804044,324.18,343.765,0.508022,516.003,311.149,0.668126
423.348,369.846,0.674864,411.644,476.901,0.133602,251.098,456.012,0.283215,0.0,0.0,0.0,0,0,0,546.059,381.675,0.0833531,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.187,328.056,0.769744,465.169,318.991,0.80655,318.965,332.002,0.568313,516.038,309.864,0.684202
422.076,369.877,0.658042,412.925,476.902,0.127943,251.106,455.997,0.302237,0.0,0.0,0.0,0,0,0,547.32,381.677,0.104524,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.187,328.049,0.762587,465.161,318.966,0.811473,320.285,337.22,0.540521,516.042,308.561,0.739225
422.069,369.855,0.660804,411.644,476.902,0.13118,252.416,454.71,0.320011,0.0,0.0,0.0,0,0,0,544.756,381.632,0.0766136,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.201,328.06,0.755511,465.164,318.992,0.815552,321.554,341.15,0.5476,515.995,317.663,0.658084
422.082,369.873,0.650869,412.936,476.912,0.106567,249.791,457.318,0.269749,0.0,0.0,0.0,0,0,0,546.045,381.621,0.0776584,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.187,328.052,0.750105,465.171,318.965,0.802356,318.984,333.311,0.549259,516.044,312.437,0.660622
423.35,369.852,0.657619,412.926,476.91,0.117754,252.393,455.995,0.308939,0.0,0.0,0.0,0,0,0,544.749,381.645,0.0761535,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.202,328.04,0.744065,465.155,318.983,0.805856,320.271,337.228,0.539464,514.707,315.044,0.621052
422.079,369.859,0.642061,412.939,476.91,0.110034,249.793,458.623,0.252125,0.0,0.0,0.0,0,0,0,546.049,381.666,0.0856318,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.195,328.069,0.757107,465.176,318.996,0.802123,318.953,334.614,0.566396,516.034,313.752,0.667296
422.033,369.877,0.663827,412.923,476.905,0.137867,252.393,457.304,0.288745,0.0,0.0,0.0,0,0,0,544.752,381.648,0.0700288,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.175,328.113,0.779244,465.187,319.003,0.801585,320.255,334.632,0.5351,515.992,316.313,0.664084
422.105,369.882,0.649484,414.246,476.911,0.0986897,248.489,459.914,0.232021,0.0,0.0,0.0,0,0,0,546.036,381.664,0.0973667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.184,328.081,0.786616,465.165,318.992,0.816571,318.936,330.743,0.596215,516.031,309.822,0.727374
422.073,369.844,0.668169,411.638,476.908,0.125117,253.684,456.026,0.283651,0.0,0.0,0.0,0,0,0,547.343,381.658,0.100954,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.206,328.059,0.76126,465.12,319.004,0.826716,322.878,337.242,0.580155,516.044,311.125,0.730774
422.081,369.829,0.648704,412.934,476.914,0.112598,252.391,457.307,0.276032,0.0,0.0,0.0,0,0,0,546.083,382.896,0.0788537,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.192,328.056,0.762699,463.84,318.996,0.830316,322.882,338.536,0.546808,516.07,308.55,0.721786
422.087,369.823,0.653548,414.232,476.911,0.107273,253.685,457.316,0.263098,0.0,0.0,0.0,0,0,0,542.169,381.572,0.0812309,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.16,328.061,0.758156,463.812,318.986,0.825537,322.867,338.562,0.540902,514.751,313.736,0.650292
422.038,369.852,0.64529,411.633,476.911,0.105406,252.387,458.61,0.259444,0.0,0.0,0.0,0,0,0,546.073,382.906,0.0753065,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.905,328.063,0.788097,463.846,318.977,0.825303,320.263,337.241,0.556524,515.998,309.854,0.673299
