Nose_X,Nose_Y,Nose_C,Neck_X,Neck_Y,Neck_C,RShoulder_X,RShoulder_Y,RShoulder_C,RElbow_X,RElbow_Y,RElbow_C,RWrist_X,RWrist_Y,RWrist_C,LShoulder_X,LShoulder_Y,LShoulder_C,LElbow_X,LElbow_Y,LElbow_C,LWrist_X,LWrist_Y,LWrist_C,RHip_X,RHip_Y,RHip_C,RKnee_X,RKnee_Y,RKnee_C,RAnkle_X,RAnkle_Y,RAnkle_C,LHip_X,LHip_Y,LHip_C,LKnee_X,LKnee_Y,LKnee_C,LAnkle_X,LAnkle_Y,LAnkle_C,REye_X,REye_Y,REye_C,LEye_X,LEye_Y,LEye_C,REar_X,REar_Y,REar_C,LEar_X,LEar_Y,LEar_C
409.893,231.491,0.551818,409.908,308.512,0.237314,250.74,272.582,0.245857,154.506,345.712,0.426124,190.436,420.168,0.166958,584.447,266.148,0.283387,688.398,370.121,0.0617556,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.021,180.189,0.694453,445.873,177.567,0.79811,295.696,186.599,0.367653,503.579,175.05,0.630013
408.633,230.219,0.560271,413.739,307.236,0.222007,249.483,272.58,0.250713,154.519,345.714,0.414653,203.278,416.342,0.15104,584.443,267.445,0.282674,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.026,180.194,0.678306,445.863,177.609,0.81754,294.42,185.298,0.357856,503.569,175.058,0.615715
407.331,230.213,0.565092,411.186,303.391,0.231458,249.482,272.565,0.241469,151.954,344.465,0.477827,200.729,416.324,0.20884,585.706,264.879,0.307066,681.986,366.254,0.0982953,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.021,180.217,0.684788,445.868,177.621,0.807656,295.661,185.324,0.374287,503.562,173.753,0.596699
408.6,231.477,0.535806,406.054,304.678,0.234369,250.736,271.309,0.275895,150.655,345.722,0.495797,199.418,417.616,0.206239,584.44,266.161,0.301149,696.103,398.346,0.0558101,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.038,180.198,0.683254,447.079,177.582,0.791845,295.673,184.044,0.432696,502.284,173.777,0.61281
407.312,230.221,0.572085,404.76,302.111,0.233068,250.749,271.298,0.287869,153.207,344.486,0.519973,200.709,416.359,0.293017,583.144,264.883,0.303183,694.822,411.179,0.0554426,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.569,180.221,0.689442,447.075,178.817,0.811913,295.703,185.312,0.441794,502.322,175.028,0.626823
407.316,228.931,0.531552,406.064,303.371,0.222919,249.484,271.286,0.265084,154.502,347.008,0.361044,0.0,0.0,0.0,585.718,270.013,0.278259,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.574,180.227,0.701245,445.861,178.829,0.813201,296.942,185.313,0.372095,502.286,171.225,0.61884
406.071,228.952,0.544752,408.623,303.363,0.237551,250.739,271.287,0.282376,154.504,344.486,0.486609,199.458,417.629,0.266824,584.447,268.723,0.293797,703.798,416.302,0.0561775,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.831,180.23,0.712778,445.823,178.816,0.805926,295.67,184.012,0.422267,502.291,172.489,0.605305
413.734,236.637,0.48,406.046,303.4,0.249182,248.183,272.588,0.269785,154.521,344.465,0.496872,200.701,417.627,0.263388,583.152,267.438,0.285173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.457,182.741,0.577004,445.781,178.87,0.761417,296.948,176.326,0.339267,502.292,171.215,0.610531
408.626,232.781,0.480528,407.339,305.943,0.247009,246.909,272.603,0.255975,151.935,345.715,0.42865,195.58,421.45,0.148093,583.163,267.44,0.297306,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.837,182.761,0.595351,445.82,177.626,0.761788,295.66,181.456,0.444487,502.283,171.227,0.60029
408.628,232.805,0.470944,407.32,304.678,0.230094,246.912,272.591,0.260992,153.209,345.723,0.395152,196.841,422.718,0.107743,584.439,267.442,0.296917,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.29,181.464,0.633274,445.803,178.841,0.805794,295.67,180.209,0.4044,501.029,171.231,0.603352
