Nose_X,Nose_Y,Nose_C,Neck_X,Neck_Y,Neck_C,RShoulder_X,RShoulder_Y,RShoulder_C,RElbow_X,RElbow_Y,RElbow_C,RWrist_X,RWrist_Y,RWrist_C,LShoulder_X,LShoulder_Y,LShoulder_C,LElbow_X,LElbow_Y,LElbow_C,LWrist_X,LWrist_Y,LWrist_C,RHip_X,RHip_Y,RHip_C,RKnee_X,RKnee_Y,RKnee_C,RAnkle_X,RAnkle_Y,RAnkle_C,LHip_X,LHip_Y,LHip_C,LKnee_X,LKnee_Y,LKnee_C,LAnkle_X,LAnkle_Y,LAnkle_C,REye_X,REye_Y,REye_C,LEye_X,LEye_Y,LEye_C,REar_X,REar_Y,REar_C,LEar_X,LEar_Y,LEar_C
312.383,305.956,0.801603,308.533,407.734,0.570789,193.825,418.083,0.480081,0,0,0,0,0,0,415.491,393.595,0.53344,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.48,281.461,0.84237,336.897,282.805,0.88048,258.264,293.053,0.67888,365.253,302.049,0.778774
312.391,305.934,0.805153,308.542,406.522,0.573395,195.112,416.811,0.487216,0,0,0,0,0,0,415.483,394.86,0.521681,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.493,281.429,0.837957,336.902,282.795,0.878257,258.262,293.034,0.688904,365.24,302.048,0.779422
312.4,304.711,0.817074,309.815,406.511,0.584312,195.102,416.774,0.480206,0,0,0,0,0,0,415.478,394.861,0.526989,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.731,281.442,0.852375,336.891,282.8,0.887509,259.535,293.02,0.688437,365.22,300.818,0.772577
313.616,304.712,0.822643,309.835,406.509,0.581868,196.399,416.773,0.472747,0,0,0,0,0,0,414.226,394.862,0.53277,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.735,281.435,0.851299,336.9,282.786,0.880807,259.556,291.783,0.685177,365.224,300.792,0.765065
313.616,304.702,0.823563,311.091,406.502,0.583958,197.703,416.803,0.464767,0,0,0,0,0,0,414.203,394.859,0.523687,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.493,281.447,0.847169,336.886,282.792,0.87552,259.542,293.085,0.692855,365.221,300.783,0.768973
313.624,304.702,0.828089,309.819,406.497,0.585699,197.69,416.767,0.464596,0,0,0,0,0,0,414.212,394.864,0.522784,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.754,281.442,0.856828,336.9,282.795,0.873719,259.561,293.027,0.695619,365.226,300.802,0.759281
313.636,304.7,0.831588,309.836,406.517,0.581038,197.687,416.763,0.46896,0,0,0,0,0,0,414.222,393.604,0.522163,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.755,281.437,0.856589,336.898,282.792,0.879329,259.56,293.037,0.704685,365.237,300.787,0.766575
313.642,304.69,0.836513,311.089,406.513,0.589385,197.691,416.789,0.465623,0,0,0,0,0,0,414.226,393.607,0.528409,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.762,281.424,0.853581,336.9,282.788,0.877616,259.559,293.026,0.702902,365.234,302.042,0.751968
313.633,304.691,0.832998,311.108,406.497,0.592661,198.977,415.516,0.464064,0,0,0,0,0,0,415.487,394.874,0.537219,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.764,281.424,0.854304,336.878,282.792,0.890546,259.567,293.014,0.699305,365.26,300.818,0.777332
313.645,304.701,0.830767,311.09,406.52,0.579617,196.419,416.795,0.460014,0,0,0,0,0,0,415.468,394.894,0.523351,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.764,281.422,0.849626,336.886,282.799,0.895522,259.558,291.776,0.686478,365.265,300.795,0.776134
313.674,304.697,0.838846,309.827,407.74,0.57831,196.414,416.78,0.464144,0,0,0,0,0,0,415.473,396.154,0.522046,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.777,281.411,0.850918,336.897,282.795,0.889078,259.562,293.073,0.702054,365.273,300.78,0.772245
313.669,304.698,0.837586,311.093,407.756,0.576724,196.404,418.048,0.462401,0,0,0,0,0,0,415.483,396.157,0.526599,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.776,281.414,0.849175,336.897,282.794,0.889933,260.812,293.085,0.698378,365.288,300.809,0.803218
313.678,305.942,0.847434,311.09,407.763,0.585074,197.706,415.484,0.486808,0,0,0,0,0,0,415.5,396.171,0.531531,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.004,281.454,0.880923,336.913,284.003,0.870366,260.805,291.791,0.718379,365.275,302.042,0.809855
313.691,304.712,0.849708,311.1,407.751,0.594375,198.964,414.225,0.475627,0,0,0,0,0,0,415.496,396.166,0.531683,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.006,281.442,0.879431,336.921,283.991,0.865263,260.823,293.03,0.728901,365.28,302.044,0.805525
313.725,304.67,0.861064,309.829,407.78,0.591342,198.957,416.764,0.476981,0,0,0,0,0,0,415.498,396.168,0.53352,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.015,281.433,0.874055,338.172,282.813,0.862934,260.818,293.038,0.740566,365.285,302.038,0.813015
314.921,304.672,0.866402,309.817,407.775,0.592885,197.701,415.514,0.489997,0,0,0,0,0,0,415.496,396.165,0.531426,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.015,281.437,0.878395,338.165,282.793,0.863411,260.823,293.059,0.745478,365.288,300.8,0.800071
314.941,304.661,0.868032,309.836,407.772,0.581419,197.684,416.757,0.487625,0,0,0,0,0,0,415.488,396.197,0.526224,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.02,281.417,0.866426,338.19,282.767,0.857491,260.865,293.075,0.74468,366.503,300.795,0.806914
314.947,304.644,0.868869,309.823,407.763,0.585416,198.964,415.522,0.487131,0,0,0,0,0,0,415.492,396.196,0.524917,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.033,281.413,0.86672,338.203,282.764,0.854241,262.074,294.332,0.736764,366.486,302.054,0.804814
