Nose_X,Nose_Y,Nose_C,Neck_X,Neck_Y,Neck_C,RShoulder_X,RShoulder_Y,RShoulder_C,RElbow_X,RElbow_Y,RElbow_C,RWrist_X,RWrist_Y,RWrist_C,LShoulder_X,LShoulder_Y,LShoulder_C,LElbow_X,LElbow_Y,LElbow_C,LWrist_X,LWrist_Y,LWrist_C,RHip_X,RHip_Y,RHip_C,RKnee_X,RKnee_Y,RKnee_C,RAnkle_X,RAnkle_Y,RAnkle_C,LHip_X,LHip_Y,LHip_C,LKnee_X,LKnee_Y,LKnee_C,LAnkle_X,LAnkle_Y,LAnkle_C,REye_X,REye_Y,REye_C,LEye_X,LEye_Y,LEye_C,REar_X,REar_Y,REar_C,LEar_X,LEar_Y,LEar_C
648.914,398.182,0.854204,641.143,621.546,0.447239,423.678,609.779,0.372164,0.0,0.0,0.0,0.0,0.0,0.0,837.056,645.053,0.402342,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.006,355.121,0.920556,688.169,355.137,0.845186,549.076,384.5,0.801546,741.019,388.458,0.798306
648.946,400.157,0.833447,639.182,621.545,0.44881,425.614,617.586,0.370122,0.0,0.0,0.0,0.0,0.0,0.0,833.128,639.176,0.386205,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.021,357.037,0.902098,692.056,359.009,0.823162,547.082,386.427,0.767988,741.021,388.393,0.822042
648.96,400.12,0.846573,639.193,623.492,0.459583,419.787,617.606,0.39096,0.0,0.0,0.0,0.0,0.0,0.0,838.977,645.031,0.405626,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.026,357.065,0.912063,692.021,357.05,0.817942,545.125,386.457,0.792994,740.999,386.484,0.823135
648.939,400.14,0.842268,645.048,621.589,0.445007,423.695,615.68,0.367927,0.0,0.0,0.0,0.0,0.0,0.0,839.018,641.154,0.417689,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.834,357.065,0.90508,692.032,357.081,0.822065,545.184,384.564,0.803403,741.012,386.506,0.823747
648.965,400.15,0.841134,639.212,623.519,0.454971,419.763,619.545,0.371933,0.0,0.0,0.0,0.0,0.0,0.0,837.011,639.155,0.427974,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.834,357.049,0.909698,692.025,357.076,0.822929,545.158,384.557,0.803593,740.992,386.483,0.824031
648.997,400.149,0.844059,645.05,627.403,0.433944,415.866,619.62,0.363358,0.0,0.0,0.0,0.0,0.0,0.0,837.036,643.08,0.406093,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.845,355.17,0.921403,692.037,357.099,0.821448,547.071,384.573,0.810351,741.004,388.379,0.813053
648.955,400.166,0.846358,641.128,625.461,0.431328,417.815,619.591,0.388755,0.0,0.0,0.0,0.0,0.0,0.0,837.067,646.977,0.388317,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.026,357.084,0.90249,692.028,357.095,0.815747,547.079,384.548,0.807042,740.97,386.482,0.825483
648.932,400.16,0.837414,641.112,627.409,0.428364,415.849,621.535,0.381998,0.0,0.0,0.0,0.0,0.0,0.0,837.073,647.003,0.392622,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.001,355.152,0.92091,692.02,357.066,0.816301,545.181,384.584,0.783614,740.983,386.447,0.825119
648.9,400.098,0.832308,641.119,625.473,0.432113,419.763,621.536,0.342911,0.0,0.0,0.0,0.0,0.0,0.0,837.078,643.08,0.396252,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.027,355.154,0.908772,690.136,357.043,0.818202,547.113,384.517,0.809066,740.994,386.512,0.817373
648.933,400.089,0.840574,639.178,623.538,0.446342,421.719,619.55,0.384198,0.0,0.0,0.0,0.0,0.0,0.0,839.004,645.063,0.400522,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.017,355.137,0.912377,690.137,355.162,0.828805,547.113,384.509,0.810945,741.004,386.501,0.823043
